Exibindo 9 itens
Service	Service Endpoint
Cloudformation	https://cloud-formation.company.com.br:8000/v1
Compute	https://cloud-compute.company.com.br:8774/v2.1
Identity	https://cloud-identity.company.com.br:5000
Image	https://cloud-image.company.com.br:9292
Network	https://cloud-network.company.com.br:9696
Object Store	http://10.100.112.44:8080/swift/v1/AUTH_hash_abcd0123456789
Orchestration	https://cloud-orchestration.company.com.br:8004/v1/hash_abcd0123456789
Placement	https://cloud-placement.company.com.br:8780
Volumev3	https://cloud-volume.company.com.br:8776/v3/hash_abcd0123456789
